id,question,optionA,optionB,optionC,optionD,answer
,"Your company has created a new product that manages a generic warehouse (e.g., number of goods currently stored, new orders received, etc.). This product includes a ""core"" software component, plus some additional modules that can be specialized for each customer (e.g., handling a warehouse for a car manufacturer may be different from a textile industry). In order to minimize your costs, you would prefer to install this software:",As VMs running in a set of servers available on premise in the customer's datacenter,As containers running in a set of servers available on premise in the customer's datacenter,"In a way that is not known by the customer; the software will be delivered online, through the Software-as-a-Service (SaaS) model","In a virtual private cloud instance dedicated to the specific customer, running on a public cloud provider",C
,What is a Common-Off-The-Shelf (COTS) hardware?,"Hardware that cannot be specialized, e.g., by adding dedicated components such as GPU engines or Infiniband adapters","Hardware that is used in many on-premise data centers, but definitely not appropriate for big hyperscalers (Amazon, Google, Azure, etc.)","Hardware that is used only by normal customers (e.g., individuals), but is not appropriate for cloud workloads","Hardware that is bought in large quantity, standardized, reducing the variety of different hardware present in a datacenter",D
,"A ""ClusterIP"" service is typically used:","For a service that has to be reachable only inside the cluster, e.g., a backend database service consumed by a web server frontend","For a service that mimics a ""client"" pod, that connects to another service running in the cluster (e.g., to simulate fake clients)",For a service that has to be replicated many times in order to sustain (and terminate) the incoming traffic coming from the Internet,"For a service that is being tested from inside the cluster, in order to make sure that its behavior is correct before allowing any public client (on the Internet) to reach it",A
,An Ingress controller in Kubernetes is mainly used to:,Check the incoming traffic for security purposes,Check the incoming HTTP/HTTPS traffic for security purposes,Enable multiple HTTP/HTTPS services to be delivered on a single TCP port (service multiplexing),Enable the load balancing of incoming traffic among different physical servers in the datacenter,C
,"If you want to create a service that is only reachable from inside a Kubernetes cluster, you would use:","A Kubernetes ""Loadbalancer"" service","A Kubernetes ""Nodeport"" service","A Kubernetes ""headless"" service","A Kubernetes ""ClusterIP"" service",D
,"The main reason we use a Kubernetes Service (e.g., Cluster IP) instead of sending traffic to the pod IP address is because:",For two reasons: we need to handle the case in which multiple replicas existand we need to handle the case in which the pod is respawned,"We cannot send traffic to the pod IP address, because this address is not reachable from inside the cluster","We need to handle the case in which the pod is respawned e.g. on another server, hence the ""logical"" IP address is used to reach the pod wherever it is","We need to handle the case in which multiple replicas exist, hence a single ""logical"" IP address has to be used for all the replicas",A
,"From the theoretical point of view, when you compare the memory requirements of an application running on the bare hardware, running in a VM, and running in a Docker (note: ""="" means ""is almost equivalent""):",Memory (VM) > Memory (Docker) > Memory(bare hardware),Memory (VM) = Memory (Docker) > Memory(bare hardware),Memory (VM) > Memory(Docker) = Memory(bare hardware),Memory(VM) = Memory (Docker) = Memory(bare hardware),C
,"From the theoretical point of view, when you compare the disk requirements of an application running on the bare hardware, running in a VM, and running in a Docker: • Note-1: ""="" means ""is almost equivalent"" • Note2: let us suppose that the layered file system does not provide any advantage (e.g., running the application on a server that has no layers in its cache)",$Disk(VM)>Disk(Docker)=Disk(bare~hardware)$,Disk(VM) > Disk(Docker) > Disk(bare hardware),Disk(VM) = Disk(Docker) > Disk(bare hardware),$Disk(VM)=Disk(Docker)=Disk(bare~hardware)$,C
,"In order to create a web server that scales endlessly, you would choose:",Kubernetes on public cloud,Openstack (or equivalent) on premise,Kubernetes on premise,Openstack (or equivalent) on public cloud,A
,"Which ones among the above functions cannot be provided by a Kubernetes ""service"", and require a ""service mesh"" software instead:","Load balancing incoming HTTP/HTTPS connections to different service instances based on application-level information (e.g., requested URL)",Load balancing incoming HTTP/HTTPS connections between different replicas of the same service,"Load balancing different (persistent, long-lived) gRPC connections between different replicas of the same service",Load balancing incoming connections between different replicas of the same service,A
,In Linux: QEMU vs KVM,"QEMU runs in user space, KVM runs in kernel space.",Both QEMU and KVM are executed in user space.,"QEMU runs in kernel space, KVM runs in user space.",Both QEMU and KVM are executed in kernel space.,A
,Implementing a hot migration of a VM to another server requires moving:,"The entire VM (i.e., applications and GuestOS kernel), plus some state-related information in the hypervisor.","The entire VM (i.e., applications and GuestOS kernel) plus the entire state of the hypervisor.",The applications running in the VM.,"The entire VM (i.e., applications and GuestOS kernel).",A
,VMEntry and VMExit instructions:,Enable fast transitions between userspace and HostOS kernel.,Enable fast transitions between userspace and GuestOS kernel.,Enable fast transitions between GuestOS and HostOS kernels.,Have a cost that is almost equivalent to the Trap-And-Emulate approach.,C
,The Docker network:,"It provides a default (simplified) network behavior, which cannot be modified.","It provides a default (simplified) network behavior, but it can also offer high flexibility and customizations such as in a traditional virtualized environment (e.g., KVM).","It provides a highly flexible and customizable behavior, such as in a traditional virtualized environment (e.g., KVM).","It provides a highly flexible customizable behavior, but only with predefined profiles.",B
,When a Docker1 wants to reach Docker2 on another server:,It cannot connect.,It must use the IP of the server and the actual port of Docker2.,It must use the IP of Docker2 and its actual port.,It must use the IP of the server and the public TCP/UDP port published by Docker2.,D
,The standard Docker network on a server:,It includes a software bridge.,"It includes a software bridge, plus routing and NAT functions for all outgoing traffic.","It includes a software bridge, plus routing and NAT functions for all container traffic.",It includes a software bridge plus routing functions.,B
,The IP address of a Docker container:,Is the same as the server (shared address).,Is manually assigned by Docker to the container.,Is assigned by a DHCP server controlled by Docker.,Is assigned by a DHCP server on the physical network.,B
,When two Docker containers run on the same server:,It must use the IP of the server and the real port of Docker2.,It must use the IP of the server and the published port of Docker2.,It must use the IP of Docker2 and the real port.,It cannot connect.,C
,A VIRTIO driver running in a GuestOS:,Uses mainly bi-directional queues shared with the companion backend driver to send/receive data.,Uses mainly special (VirtIO) devices to send/receive data.,Uses mainly VMEntry/VMExit to send/receive data.,Uses mainly syscalls to send/receive data.,A
,When Trap-And-Emulate handles a userland system call:,We experience three transitions: User → Host kernel → Guest kernel → Host kernel.,We experience one transition: User → Guest kernel.,We experience at least two transitions: User → Guest kernel → Host kernel.,We experience at least two transitions: User → Host kernel → Guest kernel.,D
,The state of a VM required for hot migration consists of:,The content of the entire memory allocated to the VM plus the entire state of the hypervisor.,The content of the entire memory allocated to the VM.,The content of the memory used by the VM.,The content of the entire memory allocated to the VM plus some additional information stored in the hypervisor.,D
,"The state of a VM, which is required to implement a hot migration, consists in",The content of the memory used by the VM,The content of the entire memory allocated to the VM plus the entire state of the hypervisor,The content of the entire memory allocated to the VM plus some additional information stored in the hypervisor,The content of the entire memory allocated to the VM,C
,Docker filesystem modification,"This is not possible, as layers cannot be modified at run-time",The file will be written in the root file system of the server,The file will be written in a temporary area in memory (RAM),The file will be written in the file system of the running Docker,D
,Layered file system in Docker builds a new layer,"A Docker inherits from another Docker (e.g., the 'FROM' tag in Dockerfile)","The Docker is re-generated e.g., due to a new software release",The Docker is executed on the target machine,The Dockerfile executes a command that modifies the current filesystem,D
,Docker reporting resources on a server with 2 CPUs and 512GB RAM,104 CPU cores and 512 GB RAM,"A value that depends on the number of Dockers that are currently running on the machine (e.g., 26 cores and 128GB RAM in case of 4 Dockers running)","The resources assigned to the VM that contains the Docker (e.g., 2 CPU cores and 4GB RAM)","The resources assigned to that Docker a startup (e.g., 2 CPU cores and 4GB RAM)",A
,Cloud-native application executed at the edge,"It cannot afford network problems (e.g., outages, limited bandwidth, etc)",It requires very low latency,"It needs to keep some data local, or it needs to reduce the data volume before sending it to the cloud",All the other answers,D
,KVM VMs connected to a pure software bridge,You are usually able to guarantee full Internet network connectivity to the services running within the VMs,"You are usually able to guarantee full Internet network connectivity to the services running within the VMs only if all the software bridges are connected together, e.g., through tunnels","You are usually able to guarantee full Internet network connectivity to the services running within the VMs, but only if a single server is considered",You are usually not able to guarantee full Internet connectivity to the services running within the VMs,D
,SaaS customer ability,The customer has no way to obtain a customized version of the software,The customer can modify the software to better fit its necessities,The customer has the responsibility to scale the software to support peaks of load,The customer can ask the software provider to modify the software to better fit its necessities,D
,Internet Exchange (IX),Simplifies the connection of different cloud providers one to the others,"Simplifies the exchange of network traffic between multiple entities (e.g., cloud providers, over-the-top, network operators)",Simplifies the purchase of cloud resources from a customer,Simplifies the exchange of cloud resources between providers and customers,B
,Cloud-init tool usage,Push the SSH keys in the VM,Configure the network,Mount an external volume to the VM,Set the hardware profile of the VM,A
,Reachability of a VM running in OpenStack,Is never guaranteed,Is enabled by default,Requires the explicit configuration of routing and firewalling rules,Must be explicitly enabled in the OpenStack configuration of the VM,D
,ClusterIP service usage,For a service that has to be replicated many times in order to sustain (and terminate) the incoming traffic coming from the Internet,"For a service that is being tested from inside the cluster, in order to make sure that its behavior is correct before allowing any public client (on the Internet) to reach it","For a service that acts as a 'client' pod, which connects to another service running in the cluster (e.g., to simulate fake customers)","For a service that has to be reachable only inside the cluster, e.g., a backend database service consumed by a web server frontend",D
,Daemonset in Kubernetes,"A pod that must be executed on each Kubernetes node at boot time (e.g., to initialize server resources)","A pod that must be always running on each Kubernetes node (e.g., to provide network services)","A Kubernetes 'system' pod that must always be running in a Kubernetes cluster (e.g., metrics server)","A pod that runs as a Linux daemon (e.g., with systemd)",B
,"In a new datacenter, servers:",Are selected mainly to privilege energy efficiency.,"Are usually all equal (in terms of CPU, memory, disks, etc).","Are usually very different (in terms of CPU, memory, disks, etc), based on the applications that you expect to run on them.",Are bought from different manufacturers in order to leverage better prices.,B
,An e-commerce site that leverages a database-as-a-service from the cloud provider that to run in 'high-availability'. You would choose to setup this service:,In multiple replicas across different Cloud Providers.,In multiple replicas across different Continents.,In multiple replicas across different Regions.,In multiple replicas across different Zones.,C
,"When you deploy an application (e.g., e-commerce site) on a cluster in public cloud and you want to have a reliable service:",You have to deploy the application also on an additional cluster on-prem.,"You do not have to worry about reliability, which is guaranteed by the cloud provider.","You have to care about reliability, which is not completely guaranteed by the cloud provider.",You have to deploy the application with multiple replicas of each microservice.,C
,The deployment of cloud computing technologies at the edge of the network is useful with:,"Applications that cannot afford network problems (e.g., outages, limited bandwidth, etc).",Applications that require very low latency.,"Applications that need to keep some data local, or that need to reduce the data volume before sending it to the cloud.",All the other answers.,D
,Technologies for computing virtualization:,Are used only in servers.,Are massively used in embedded devices.,Are alternative (and not compatible) with the world of containers.,Are used whenever strong computing isolation is required.,D
,The filesystem in a Docker:,"At startup, it is completely independent from the one present on the hosting machine; however, temporary files created during Docker execution are stored in the filesystem of the hosting machine (e.g., /var/tmp).","Inherits from the one present in the hosting machine, properly updated to get exactly the desired structure in terms of files and folders.",Is created in a way that a running Docker does not consume any disk space in the hosting machine.,Is completely independent from the one present on the hosting machine.,A
,"A Docker is running on a server that has 2 CPUs (52 cores each). If, inside the Docker, we execute an application that maximizes its performance by creating a number of threads equal to the number of CPU cores available, it will create the following number of threads:","Equal to the number of CPU cores assigned to that Docker at startup (e.g., 2 CPU cores > 2 threads)",104,52,"Equal to the number of CPU cores assigned to that Docker in the Dockerfile (e.g., 2 CPU cores --> 2 threads)",B
,The reachability of a VM running in OpenStack from a customer connected to the Internet:,Must be explicitly enabled in the OpenStack configuration of the VM.,Requires the explicit configuration of routing and firewalling rules.,Is enabled by default.,Is never guaranteed.,A
,A pod (and it associated service) is running in a Kubernetes datacenter and is reachable from the outside world through an Ingress controller. When a client (on the Internet) establishes a TCP connection toward the pod/service:,Network packets entering in the datacenter will have the POD IP as destination IP address.,Two cascading TCP connections must be established to allow the client to connect to the pod.,Network packets received by the service will have the client IP as source IP address.,Network packets entering in the datacenter will have the SERVICE IP as destination IP address.,B
,"In a service mesh, each micro-service:",Must be manually enriched with a component that implements the service mesh.,Is automatically started with a sidecar that implements the service mesh.,Is automatically enriched with a component that redirects the traffic to the API gateway.,Loads a shared library that implements the service mesh.,B
