domanda,opzioneA,opzioneB,opzioneC,opzioneD,soluzione,motivazione
"In computing virtualization, a sensitive instruction:"," Is always a privileged instruction."," Is never a privileged instruction.","Is an instruction that has to be handled with Trap-And-Emulate.","Is an instruction that may leak information about the current running kernel context.",D,"A sensitive instruction is one that interacts with the hardware configuration or privilege state. If executed in a guest, it might reveal that the OS is virtualized or change the machine state globally."
"An instruction executed at CPU ring 0 (VMX non-root mode):","Can generate a trap if it is a privileged instruction.","Can never generates a trap."," Can generate a trap if it is a sensitive and privileged instruction.","Can generate a trap if it is a sensitive instruction.",A,"In Non-Root mode (Guest), privileged instructions generally cause a VMExit (trap) so the hypervisor can handle them safely, ensuring isolation."
"A CPU that supports VMX root/non-root modes:","Is more efficient when handling privileged instructions in the GuestOS.","Never experiences traps when running code in VMX non-root mode.","Is more efficient when handling privileged instructions in the Host.","Is more efficient when handling system calls.",D,"(Note: Answer key is D). Hardware virtualization (VMX) allows the Guest OS to handle its own interrupts and syscalls more natively compared to Binary Translation, improving efficiency."
"When the Trap-And-Emulate is used to handle a userland program invoking a system call:","We experience two transitions: User space --> GuestOS kernel --> HostOS kernel.","We experience two transitions: User space --> HostOS kernel --> GuestOS kernel.","We experience three transitions: User space --> HostOS kernel --> GuestOS kernel --> HostOS kernel.","We experience one transition: User space --> GuestOS kernel.",B,"The syscall traps to the hardware (Host/Hypervisor) first because the physical CPU controls the trap table. The Host then injects the event into the Guest Kernel. Transition: User -> Host -> Guest."
"In computing virtualization, the direct assignment for I/O devices identifies:","A real device that is completely controlled by the HostOS.","A real device that is completely controlled by the GuestOS.","A virtual device that is completely controlled by the HostOS.","A virtual device that is completely controlled by the GuestOS",B,"Direct Assignment (PCI Passthrough) gives the Guest OS exclusive access to the physical hardware device, bypassing the Host drivers."
"When the GuestOS boots in a virtualized environment:","It can detect a few of the real devices present on the hosting server.","It can detect all the real devices present on the hosting server.","It usually detects a set of real devices presented to it by the hypervisor.","It usually detects a set of virtual devices presented to it by the hypervisor",D,"The Guest sees the 'virtual motherboard' created by the Hypervisor (e.g., QEMU), not the physical hardware (unless passthrough is used)."
"A VIRTIO driver:","Makes a limited use of syscalls.","Does not use VMENTRY/VMEXIT operations.","Makes an extensive use of syscalls.","Makes an extensive use of VMENTRY/VMEXIT operations",B,"VirtIO uses shared memory queues (virtqueues) to exchange data, drastically reducing the number of expensive traps (VMExits) compared to register-level emulation."
"When Linux leverages the KVM hypervisor:","QEMU runs at ring 3 (VMX non-root), the GuestOS runs at ring 0 (VMX non-root).","QEMU runs at ring 0 (VMX root), the GuestOS runs at ring 0 (VMX non-root).","QEMU runs at ring 0 (VMX non-root), the GuestOS runs at ring 0 (VMX non-root).","QEMU runs at ring 3 (VMX root), the GuestOS runs at ring 0 (VMX non-root).",D,"QEMU is a user application (Ring 3) running on the Host (Root mode). The Guest OS runs in Ring 0 of Non-Root mode."
"In Linux, tools such as virsh and virt-manager:","Enable users to interact with KVM-based VMs through a graphical interface.","Simplify the creation of software that controls VMs running on different hypervisors (KVM, Vmware, etc).","Simplify the creation of software that controls KVM-based VMs.","Enable users to interact with KVM-based VMs in a user-friendly way",B,"These tools use libvirt, which abstracts the differences between hypervisors, allowing software to control various types of VMs (KVM, ESXi, etc.) uniformly."
"The state of a VM, which is required to implement a hot migration, can be found in / consists in:","The content of the entire memory allocated to the VM.","The content of the memory used by the VM.","The content of the entire memory allocated to the VM plus some additional information stored in the hypervisor.","The content of the entire memory allocated to the VM plus the entire state of the hypervisor.",C,"Migration requires the VM's RAM and the internal state of the virtual devices (registers, buffers) which resides in the hypervisor process."
"In computing virtualization, the Trap-And-Emulate approach:","Is used to emulate privileged CPU instructions.","Is used to emulate sensitive (and not privileged) CPU instructions.","Is used to emulate privileged CPU instructions executed at the wrong privilege level.","Is used to emulate system calls.",C,"Strictly speaking, it emulates instructions that trap because they were executed at a privilege level that doesn't allow them (e.g., Guest Kernel running in Ring 1 or Non-Root trying to execute privileged ops)."
"CPU para-virtualization:","Replaces system calls with an equivalent function of the GuestOS kernel.","Replaces system calls with an equivalent function of the HostOS kernel.","Replaces some source code of the GuestOS kernel with the proper equivalent function in the HostOS kernel.","Replaces some binary code of the GuestOS kernel with the proper equivalent function in the HostOS kernel.",C,"Modifies Guest source code to call the Hypervisor directly (hypercalls) instead of relying on traps."
"Modern CPUs:","Have 8 CPU rings (from least to most privileged).","Have many CPU rings, and N of them are intended for executing OS kernels (where N can be dynamically programmed).","Have many CPU rings, and 2 of them are intended for executing OS kernels.","Have 8 CPU rings, but we can use only 4 of them at each time.",C,"Refers to the existence of Host Ring 0 and Guest Ring 0 via hardware virtualization extensions (VT-x/AMD-V)."
"Dynamic binary translation:","Can refer to an instruction executed by GuestOS kernel.","Always refers to an instruction executed by the GuestOS kernel.","Always refers to an instruction executed by userland applications.","Always refers to an instruction executed by the HostOS kernel.",A,"Binary translation is primarily used to translate Guest Kernel code (which contains privileged instructions) into safe code that runs in user space or non-privileged mode."
"In a virtualized system, VMEntry and VMExit instructions:","Enable fast transitions between GuestOS and HostOS kernels.","Enable fast transitions between userspace and GuestOS kernel.","Have a cost that is almost equivalent to the Trap-And-Emulate approach.","Enable fast transitions between userspace and HostOS kernel.",A,"These instructions facilitate the context switch between the Hypervisor (Host) and the Virtual Machine (Guest)."
"In computing virtualization, a hypervisor:","Is usually able to emulate a very large number of physical devices.","Is usually able to emulate a very small number of physical devices.","Must use direct I/O assignment techniques to emulate a very large number of physical devices.","Must use para-virtualization techniques to emulate a very large number of physical devices.",B,"Hypervisors generally implement a small set of stable, generic devices to ensure compatibility and simplicity."
"The image of a modern operating system that can be used to start a VM (e.g., an Ubuntu ISO cloud image):","Includes only drivers for para-virtualized devices (e.g., VIRTIO).","Usually includes drivers for many physical devices (e.g., Intel NIC), and a few para virtualized devices (eg., VIRTIO).","Usually includes drivers for a few physical devices (e.g., Intel NIC), and many para virtualized devices (eg., VIRTIO).","Includes only drivers for physical devices (e.g., Intel NIC).",B,"OS images are generic; they include physical drivers for bare metal use and paravirtualized drivers for cloud use."
"Libvirt:","Provides graphical access to KVM-based VMs.","Simplifies the interaction with VMs running on different hypervisors (KVM, Vmware, etc).","Provides graphical access to VMs running on different hypervisors (KVM, Vmware, etc).","Simplifies the interaction with KVM-based VMs.",B,"Libvirt is a management API toolset that abstracts underlying hypervisor technologies."
"In Linux:","Both QEMU and KVM run in user space.","QEMU runs in user space, KVM runs in kernel space.","Both QEMU and KVM run in kernel space.","QEMU runs in kernel space, KVM runs in user space.",B,"QEMU (Process/Device Model) = User Space. KVM (CPU/Memory virtualization module) = Kernel Space."
"Implementing a hot migration of a VM to another server requires moving the state of:","The entire VM (i.e., applications and GuestOS kernel) plus the entire state of the hypervisor.","The entire VM (i.e., applications and GuestOS kernel), plus some state in the hypervisor.","The applications running in the VM.","The entire VM (i.e., applications and GuestOS kernel).",B,"Requires moving the VM memory (Apps + GuestOS) and the device emulation state (held by the hypervisor)."
"In computing virtualization, the Trap-And-Emulate approach:","Is used to emulate privileged CPU instructions executed at the wrong privilege level.","Is used to emulate sensitive (and not privileged) CPU instructions.","Is used to emulate system calls.","Is used to emulate privileged CPU instructions.",A,"It intercepts instructions that cause a privilege violation trap and emulates their intended effect."
"CPU para-virtualization:","Replaces system calls with an equivalent function of the HostOS kernel.","Replaces some binary code of the GuestOS kernel with the proper equivalent function in the HostOS kernel.","Replaces system calls with an equivalent function of the GuestOS kernel.","Replaces some source code of the GuestOS kernel with the proper equivalent function in the HostOS kernel.",D,"Requires source code modification to replace privileged ops with hypercalls."
"Modern CPUs:","Have many CPU rings, and N of them are intended for executing OS kernels (where N can be dynamically programmed).","Have many CPU rings, and 2 of them are intended for executing OS kernels.","Have 8 CPU rings (from least to most privileged).","Have 8 CPU rings, but we can use only 4 of them at each time.",B,"Refers to the 2 effective kernel rings provided by Hardware Virtualization (Root-0 and NonRoot-0)."
"Dynamic binary translation:","Always refers to an instruction executed by the GuestOS kernel.","Always refers to an instruction executed by userland applications.","Can refer to an instruction executed by GuestOS kernel.","Always refers to an instruction executed by the HostOS kernel.",C,"It translates Guest Kernel instructions to ensure they run safely without hardware virtualization support."
"In a virtualized system, VMEntry and VMExit instructions:","Enable fast transitions between GuestOS and HostOS kernels.","Enable fast transitions between userspace and HostOS kernel.","Have a cost that is almost equivalent to the Trap-And-Emulate approach.","Enable fast transitions between userspace and GuestOS kernel.",A,"Hardware instructions to switch between VMX Root (Host) and VMX Non-Root (Guest)."
"In computing virtualization, a hypervisor:","Must use para-virtualization techniques to emulate a very large number of physical devices.","Must use direct I/O assignment techniques to emulate a very large number of physical devices.","Is usually able to emulate a very large number of physical devices.","Is usually able to emulate a very small number of physical devices.",D,"Emulation of hardware is complex; hypervisors restrict this to a small set of common devices."
"The image of a modern operating system that can be used to start a VM (e.g., an Ubuntu ISO cloud image):","Usually includes drivers for a few physical devices (e.g., Intel NIC), and many para-virtualized devices (eg., VIRTIO).","Includes only drivers for physical devices (e.g., Intel NIC).","Includes only drivers for para-virtualized devices (e.g., VIRTIO).","Usually includes drivers for many physical devices (e.g., Intel NIC), and a few para-virtualized devices (eg., VIRTIO).",D,"Combines broad physical hardware support (for bare metal install) with VirtIO drivers (for cloud/VM install)."
"Libvirt:","Provides graphical access to KVM-based VMs.","Simplifies the interaction with KVM-based VMs.","Provides graphical access to VMs running on different hypervisors (KVM, Vmware, etc).","Simplifies the interaction with VMs running on different hypervisors (KVM, Vmware, etc).",D,"Libvirt is the standard API for managing diverse hypervisors."
"In Linux:","Both QEMU and KVM run in user space.","Both QEMU and KVM run in kernel space.","QEMU runs in kernel space, KVM runs in user space.","QEMU runs in user space, KVM runs in kernel space.",D,"QEMU = User space; KVM = Kernel space."
"Implementing a hot migration of a VM to another server requires moving the state of:","The applications running in the VM.","The entire VM (i.e., applications and GuestOS kernel), plus some state in the hypervisor.","The entire VM (i.e., applications and GuestOS kernel) plus the entire state of the hypervisor.","The entire VM (i.e., applications and GuestOS kernel).",B,"Requires moving Guest memory and Hypervisor-managed device state."
"question","optionA","optionB","optionC","optionD","answer","motivation"
"Your company has created a new product that manages a generic warehouse (e.g., number of goods currently stored, new orders received, etc.). This product includes a ""core"" software component, plus some additional modules that can be specialized for each customer (e.g., handling a warehouse for a car manufacturer may be different from a textile industry). In order to minimize your costs, you would prefer to install this software:","As VMs running in a set of servers available on premise in the customer's datacenter","As containers running in a set of servers available on premise in the customer's datacenter","In a way that is not known by the customer; the software will be delivered online, through the Software-as-a-Service (SaaS) model","In a virtual private cloud instance dedicated to the specific customer, running on a public cloud provider",C,"SaaS allows the provider to manage a single multi-tenant infrastructure, minimizing operational and deployment costs compared to managing per-customer installations."
"What is a Common-Off-The-Shelf (COTS) hardware?","Hardware that cannot be specialized, e.g., by adding dedicated components such as GPU engines or Infiniband adapters","Hardware that is used in many on-premise data centers, but definitely not appropriate for big hyperscalers (Amazon, Google, Azure, etc.)","Hardware that is used only by normal customers (e.g., individuals), but is not appropriate for cloud workloads","Hardware that is bought in large quantity, standardized, reducing the variety of different hardware present in a datacenter",D,"COTS refers to standard, mass-produced hardware. Hyperscalers use it to lower costs through economies of scale and simplified maintenance."
"A ""ClusterIP"" service is typically used:","For a service that has to be reachable only inside the cluster, e.g., a backend database service consumed by a web server frontend","For a service that mimics a ""client"" pod, that connects to another service running in the cluster (e.g., to simulate fake clients)","For a service that has to be replicated many times in order to sustain (and terminate) the incoming traffic coming from the Internet","For a service that is being tested from inside the cluster, in order to make sure that its behavior is correct before allowing any public client (on the Internet) to reach it",A,"ClusterIP is the default Kubernetes Service type, exposing the service on an internal IP reachable only from within the cluster."
"An Ingress controller in Kubernetes is mainly used to:","Check the incoming traffic for security purposes","Check the incoming HTTP/HTTPS traffic for security purposes","Enable multiple HTTP/HTTPS services to be delivered on a single TCP port (service multiplexing)","Enable the load balancing of incoming traffic among different physical servers in the datacenter",C,"Ingress works at Layer 7 (Application), allowing routing based on Host headers or Paths, thus multiplexing multiple services on a single external IP/Port."
"If you want to create a service that is only reachable from inside a Kubernetes cluster, you would use:","A Kubernetes ""Loadbalancer"" service","A Kubernetes ""Nodeport"" service","A Kubernetes ""headless"" service","A Kubernetes ""ClusterIP"" service",D,"ClusterIP is specifically designed for internal-only traffic."
"The main reason we use a Kubernetes Service (e.g., Cluster IP) instead of sending traffic to the pod IP address is because:","For two reasons: we need to handle the case in which multiple replicas existand we need to handle the case in which the pod is respawned","We cannot send traffic to the pod IP address, because this address is not reachable from inside the cluster","We need to handle the case in which the pod is respawned e.g. on another server, hence the ""logical"" IP address is used to reach the pod wherever it is","We need to handle the case in which multiple replicas exist, hence a single ""logical"" IP address has to be used for all the replicas",A,"Pods are ephemeral; their IPs change on restart. Services provide a stable virtual IP and load balancing across the dynamic set of Pod replicas."
"From the theoretical point of view, when you compare the memory requirements of an application running on the bare hardware, running in a VM, and running in a Docker (note: ""="" means ""is almost equivalent""):","Memory (VM) > Memory (Docker) > Memory(bare hardware)","Memory (VM) = Memory (Docker) > Memory(bare hardware)","Memory (VM) > Memory(Docker) = Memory(bare hardware)","Memory(VM) = Memory (Docker) = Memory(bare hardware)",C,"VMs require a full Guest OS (Kernel + User space) in memory. Docker containers share the Host Kernel, so their overhead is negligible, making them comparable to bare metal."
"From the theoretical point of view, when you compare the disk requirements of an application running on the bare hardware, running in a VM, and running in a Docker: • Note-1: ""="" means ""is almost equivalent"" • Note2: let us suppose that the layered file system does not provide any advantage (e.g., running the application on a server that has no layers in its cache)","Disk(VM)>Disk(Docker)=Disk(bare~hardware)","Disk(VM) > Disk(Docker) > Disk(bare hardware)","Disk(VM) = Disk(Docker) > Disk(bare hardware)","Disk(VM)=Disk(Docker)=Disk(bare~hardware)",C,"VMs need a full OS disk image. Docker images contain only the application and dependencies (bins/libs), similar to what is installed on bare metal."
"In order to create a web server that scales endlessly, you would choose:","Kubernetes on public cloud","Openstack (or equivalent) on premise","Kubernetes on premise","Openstack (or equivalent) on public cloud",A,"Public clouds provide effectively infinite resources (elasticity), and Kubernetes provides the orchestration to scale the application automatically."
"Which ones among the above functions cannot be provided by a Kubernetes ""service"", and require a ""service mesh"" software instead:","Load balancing incoming HTTP/HTTPS connections to different service instances based on application-level information (e.g., requested URL)","Load balancing incoming HTTP/HTTPS connections between different replicas of the same service","Load balancing different (persistent, long-lived) gRPC connections between different replicas of the same service","Load balancing incoming connections between different replicas of the same service",A,"Standard K8s Services operate at Layer 4 (TCP/IP). They cannot inspect L7 data like URLs to make routing decisions; this requires an Ingress or Service Mesh."
"CPU para-virtualization:","Replaces system calls with an equivalent emulation function in the GuestOS kernel.","Replaces some binary code of the GuestOS kernel with the proper equivalent emulation function in the HostOS kernel.","Replaces system calls with an equivalent emulation function in the HostOS kernel.","Replaces some source code of the GuestOS kernel with the proper equivalent emulation function in the HostOS kernel.",D,"It modifies the Guest source code to explicitly call the hypervisor (hypercalls) instead of using privileged instructions."
"Modern CPUs:","Have 8 CPU rings, in increasing order of privilege (from least to most privileged).","Have many CPU rings, and 2 of them are intended for executing OS kernels.","Have 8 CPU rings, but a user-level application can use only 4 of them.","Have many CPU rings, and N of them are intended for executing OS kernels (where N can be dynamically programmed).",B,"Refers to the duality of Host Ring 0 and Guest Ring 0 in hardware-assisted virtualization."
"Dynamic binary translation:","Always translates a binary instruction executed by userland applications.","Often translates a binary instruction executed by the GuestOS kernel.","Always translates a binary instruction executed by the HostOS kernel.","Always translates a binary instruction executed by the GuestOS kernel.",B,"It translates privileged instructions in the Guest Kernel to safe instructions, avoiding the need for the Guest to be aware of virtualization."
"In computing virtualization, a hypervisor:","Emulates a large number of physical devices (e.g., NICs) through para-virtualization techniques.","Is usually able to emulate a large number of physical devices (e.g., NICs).","Is usually able to emulate a small number of physical devices (e.g., NICs).","Emulates a large number of physical devices (e.g., NICs) through direct I/O assignment techniques.",C,"Hypervisors emulate a limited set of standard hardware devices to reduce complexity and overhead."
"The image (i.e., ISO) of a modern operating system used in a VM:","Includes only drivers for para-virtualized devices (e.g., VIRTIO).","Usually includes drivers for many physical devices (e.g., Intel NIC), and a few para-virtualized devices (eg., VIRTIO).","Includes only drivers for physical devices (e.g., Intel NIC).","Usually includes drivers for a few physical devices (e.g., Intel NIC), and many para-virtualized devices (eg., VIRTIO).",B,"It contains standard drivers for physical hardware (broad compatibility) plus specific drivers for virtual environments."
"Libvirt:","Simplifies the interaction with VMs running on different hypervisors (KVM, Vmware, etc).","Simplifies the interaction with KVM-based VMs.","Provides graphical access to VMs running on different hypervisors (KVM, Vmware, etc).","Provides graphical access to KVM-based VMs.",A,"A library that acts as a wrapper/abstraction for managing different hypervisor technologies."
"In Linux: QEMU vs KVM","QEMU runs in user space, KVM runs in kernel space.","Both QEMU and KVM are executed in user space.","QEMU runs in kernel space, KVM runs in user space.","Both QEMU and KVM are executed in kernel space.",A,"Standard architecture: KVM is the kernel module, QEMU is the user-space process."
"In computing virtualization, the Trap-And-Emulate approach:","Is used to emulate system calls.","Is used to emulate privileged CPU instructions executed at the wrong privilege level.","Is used to emulate sensitive (and not privileged) CPU instructions.","Is used to emulate privileged CPU instructions.",B,"It handles instructions that trigger a trap because they are privileged and were executed in a non-privileged context (Guest)."
"Implementing a hot migration of a VM to another server requires moving:","The entire VM (i.e., applications and GuestOS kernel), plus some state-related information in the hypervisor.","The entire VM (i.e., applications and GuestOS kernel) plus the entire state of the hypervisor.","The applications running in the VM.","The entire VM (i.e., applications and GuestOS kernel).",A,"Requires VM RAM contents plus the emulated device state held by the hypervisor."
"VMEntry and VMExit instructions:","Enable fast transitions between userspace and HostOS kernel.","Enable fast transitions between userspace and GuestOS kernel.","Enable fast transitions between GuestOS and HostOS kernels.","Have a cost that is almost equivalent to the Trap-And-Emulate approach.",C,"Hardware instructions for switching between Root (Host) and Non-Root (Guest) modes."
"The Docker network:","It provides a default (simplified) network behavior, which cannot be modified.","It provides a default (simplified) network behavior, but it can also offer high flexibility and customizations such as in a traditional virtualized environment (e.g., KVM).","It provides a highly flexible and customizable behavior, such as in a traditional virtualized environment (e.g., KVM).","It provides a highly flexible customizable behavior, but only with predefined profiles.",B,"Docker uses a bridge by default but supports overlays, macvlan, and custom plugins for complex networking."
"When a Docker1 wants to reach Docker2 on another server:","It cannot connect.","It must use the IP of the server and the actual port of Docker2.","It must use the IP of Docker2 and its actual port.","It must use the IP of the server and the public TCP/UDP port published by Docker2.",D,"Without an overlay network, containers are isolated. You must access them via the Host's IP and the published/mapped port."
"The standard Docker network on a server:","It includes a software bridge.","It includes a software bridge, plus routing and NAT functions for all outgoing traffic.","It includes a software bridge, plus routing and NAT functions for all container traffic.","It includes a software bridge plus routing functions.",B,"Docker creates a bridge (docker0) and uses iptables for NAT (masquerade) to allow containers to access the external network."
"The IP address of a Docker container:","Is the same as the server (shared address).","Is manually assigned by Docker to the container.","Is assigned by a DHCP server controlled by Docker.","Is assigned by a DHCP server on the physical network.",B,"Docker's internal IPAM (IP Address Management) assigns IPs to containers from a private pool; it's not a standard external DHCP."
"When two Docker containers run on the same server:","It must use the IP of the server and the real port of Docker2.","It must use the IP of the server and the published port of Docker2.","It must use the IP of Docker2 and the real port.","It cannot connect.",C,"Containers on the same bridge can communicate directly using their internal IPs and ports without going through the host's public IP."
"An instruction executed at CPU ring 0 (VMX non-root mode):","Will generate a trap if it is a sensitive instruction.","Will generate a trap if it is either a sensitive or privileged instruction.","Will generate a trap if it is a privileged instruction.","Will never generate a trap.",C,"Privileged instructions in Non-Root mode generally trigger a VMExit (trap) so the Hypervisor can validate/emulate them."
"A CPU that supports VMX root/non-root modes:","Is more efficient when handling system calls.","Is more efficient when handling privileged instructions in the Host.","Never experiences traps when running code in VMX non-root mode.","Is more efficient when handling privileged instructions in the GuestOS.",D,"Hardware virtualization allows the Guest to execute many privileged instructions natively (no binary translation), improving efficiency."
"In computing virtualization, the direct assignment for I/O devices identifies:","A virtual device that is completely controlled by the GuestOS.","A real device that is completely controlled by the HostOS.","A real device that is completely controlled by the GuestOS.","A virtual device that is completely controlled by the HostOS.",C,"Direct assignment (Passthrough) maps a physical PCI device directly to the Guest OS."
"When the GuestOS boots in a virtualized environment:","It usually detects a set of virtual devices presented to it by the hypervisor.","It usually detects a set of real devices presented to it by the hypervisor.","It can detect all the real devices present on the hosting server.","It can detect a few of the real devices present on the hosting server.",A,"The Guest OS enumerates the virtual hardware provided by the hypervisor (e.g., standard VGA, virtual NIC)."
"A VIRTIO driver running in a GuestOS:","Uses mainly bi-directional queues shared with the companion backend driver to send/receive data.","Uses mainly special (VirtIO) devices to send/receive data.","Uses mainly VMEntry/VMExit to send/receive data.","Uses mainly syscalls to send/receive data.",A,"VirtIO utilizes 'virtqueues' (shared memory) to efficiently exchange data buffers between Guest and Host."
"In Linux, tools such as virsh and virt-manager:","Enable users to interact with VMs (e.g., KVM-based) in a user-friendly way.","Enable users to interact with VMs (e.g., KVM-based) through a graphical interface.","Simplify the creation of software that controls VMs running on different hypervisors (KVM, Vmware, etc).","Simplify the creation of software that controls KVM-based VMs.",D,"(Based on the provided solution D) They simplify software creation via Libvirt, which supports multiple hypervisors."
"When Linux leverages the KVM hypervisor:","QEMU runs at ring 3 (VMX non-root), the GuestOS runs at ring 0 (VMX non-root).","QEMU runs at ring 0 (VMX root), the GuestOS runs at ring 0 (VMX non-root).","QEMU runs at ring 0 (VMX non-root), the GuestOS runs at ring 0 (VMX non-root).","QEMU runs at ring 3 (VMX root), the GuestOS runs at ring 0 (VMX non-root).",A,"(Based on solution A, which matches D in duplicate questions): QEMU is Ring 3 (User) in Root Mode (Host). Guest OS is Ring 0 in Non-Root Mode."
"In computing virtualization, a sensitive instruction:","Is an instruction that may leak information about the current OS kernel context or actual hardware configuration.","Is never a privileged instruction.","Is always a privileged instruction.","Is an instruction that has to be handled with Trap-And-Emulate.",A,"Sensitive instructions read/write hardware configuration. If they aren't privileged, they don't trap, but still leak/change state, which is problematic for virtualization."
"When Trap-And-Emulate handles a userland system call:","We experience three transitions: User → Host kernel → Guest kernel → Host kernel.","We experience one transition: User → Guest kernel.","We experience at least two transitions: User → Guest kernel → Host kernel.","We experience at least two transitions: User → Host kernel → Guest kernel.",D,"Syscall traps to Host (Hardware trap) -> Host reflects to Guest Kernel (Transition 1 & 2)."
"The state of a VM required for hot migration consists of:","The content of the entire memory allocated to the VM plus the entire state of the hypervisor.","The content of the entire memory allocated to the VM.","The content of the memory used by the VM.","The content of the entire memory allocated to the VM plus some additional information stored in the hypervisor.",D,"VM Memory + Device State (in Hypervisor)."
"An instruction executed at CPU ring 0 (VMX non-root mode):","Will never generate a trap.","Will generate a trap if it is a privileged instruction.","Will generate a trap if it is either a sensitive or privileged instruction.","Will generate a trap if it is a sensitive instruction.",B,"Privileged instructions trap (VMExit) in Non-Root mode."
"A CPU that supports VMX root/non-root modes:","Is more efficient when handling privileged instructions in the Host.","Is more efficient when handling system calls.","Is more efficient when handling privileged instructions in the GuestOS.","Never experiences traps when running code in VMX non-root mode.",C,"Allows Guest OS to handle privileges/interrupts more naturally than binary translation."
"In computing virtualization, the direct assignment for I/O devices identifies:","A real device that is completely controlled by the GuestOS.","A real device that is completely controlled by the HostOS.","A virtual device that is completely controlled by the GuestOS.","A virtual device that is completely controlled by the HostOS.",A,"Passthrough: Guest driver talks to Physical Hardware."
"When the GuestOS boots in a virtualized environment:","It can detect a few of the real devices present on the hosting server.","It can detect all the real devices present on the hosting server.","It usually detects a set of virtual devices presented to it by the hypervisor.","It usually detects a set of real devices presented to it by the hypervisor.",C,"Guest sees virtual devices."
"A VIRTIO driver running in a GuestOS:","Uses mainly VMEntry/VMExit to send/receive data.","Uses mainly syscalls to send/receive data.","Uses mainly special (VirtIO) devices to send/receive data.","Uses mainly bi-directional queues shared with the companion backend driver to send/receive data.",D,"Shared memory queues (Virtqueues) for efficiency."
