domanda,opzioneA,opzioneB,opzioneC,opzioneD,soluzione,motivazione
"Two IP networks 130.192.0.0/24 and 130.192.2.0/24 can be aggregated in:","130.192.0.0/23","They cannot be aggregated","130.192.0.0/22","130.192.2.0/23",C,"Le reti 0.0/24 e 2.0/24 non sono contigue (manca la 1.0). L'aggregazione minima che le contiene entrambe è la /22 (che copre 0.0, 1.0, 2.0, 3.0)."
"The Integrated IS-IS protocol","Is a protocol used by Ethernet switches (spanning tree)","Is a protocol derived as an evolution of BGP","Is a protocol based on the link state routing algorithm widely used in large networks","Is an obsolete routing protocol",C,"IS-IS è un protocollo Link State molto scalabile, utilizzato spesso nei grandi backbone dei Service Provider."
"RSVP (Resource reSerVation Protocol) allows:","To monitor delay and loss experienced in the network","Servers to reserve computing resources","Routers to know the requirements of an application in terms of quality of service","To limit the delay variation (jitter)",C,"RSVP è un protocollo di segnalazione usato per riservare risorse lungo un percorso di rete, permettendo alle applicazioni di richiedere una specifica QoS."
"In DiffServ, a 'class of service' identifies:","A set of packets that are handled the same way by routers (for example, all VoIP traffic)","A working mode of border routers that have to classify and mark incoming packets","A set of packets that belong to the same VoIP session",N/A,A,"DiffServ raggruppa il traffico in classi (Behavior Aggregate) e applica a ciascuna uno specifico Per-Hop Behavior (PHB) nei router."
"The importance of MPLS in today's networks stems from the possibility to","Have a single control plan for different switching technologies","Balance traffic across a server farm","Realize devices that can operate without needing to be configured","Realize switches with specific support to guarantee quality of service",A,"MPLS fornisce un piano di controllo unificato (basato su IP routing) che può operare sopra diverse tecnologie di trasporto (ATM, Frame Relay, Ethernet)."
"In the MPLS architecture, LSPs (label switched paths)","Consist in the shortest path towards a given destination","Represent alternative paths for forwarding packets","Are set up by network nodes that agree on the labels to be used for packets belonging to a specific FEC","Are exchanged by routers to create a map of the network",C,"Un LSP è un percorso unidirezionale stabilito attraverso la rete MPLS mappando una Forwarding Equivalence Class (FEC) a una sequenza di etichette."
"The operations that an MPLS router can perform on labels are:","Labels cannot be modified","PUSH (add external), POP (remove external), SWAP (change external)","PUSH only if no others, POP only if last, SWAP","PUSH/POP/SWAP any position",B,"Le operazioni standard sono: PUSH (aggiunge etichetta in cima), POP (rimuove l'etichetta in cima) e SWAP (sostituisce l'etichetta in cima)."
"The IGMP protocol","Is a new version of ICMP","Allows an IPv4 router to discover which multicast groups are present in a directly connected network","Allows an IPv4 router to discover which multicast groups are active in the Internet","Allows an IPv4 host to create a new multicast group",B,"IGMP è usato dagli host per segnalare al router locale l'interesse a ricevere traffico multicast per un determinato gruppo."
"In an IPv4 network, a multicast packet...","Is delivered to app layer always","Reaches a host only if it joined the group (whichever L2 tech)","Can reach a host even if it did not join that group before","Cannot be understood by a host",C,"In reti IPv4 senza snooping IGMP (es. hub o switch base), il traffico multicast può essere trattato come broadcast e raggiungere fisicamente host che non lo hanno richiesto."
"The Neighbor Discovery procedure in IPv6","Is based on a multicast ICMPv6 packet","Is based on ARPv6","Needs the network to support IPv4","Is based on a broadcast ICMPv6 packet",A,"NDP sostituisce ARP e usa messaggi ICMPv6 (come Neighbor Solicitation) inviati a indirizzi multicast (Solicited-Node multicast address)."
"The ICMPv6 Router Advertisement packet","Enables device autoconfiguration without a DHCP protocol intervention","Is sent periodically by a router to all the other routers","Is a broadcast packet","Is sent as a reply to an ICMPv6 Neighbor Solicitation",A,"I messaggi RA permettono agli host di autoconfigurarsi (SLAAC) ricevendo il prefisso di rete dal router."
"IPv6 Private addresses (ULA)","Are used only on routers","Are defined in such a way that they are globally unique with high probability, but cannot be routed globally","Are used to interconnect private networks through a public network","Are used only for on-link communications",B,"Gli indirizzi Unique Local (ULA) sono l'equivalente IPv6 degli indirizzi privati IPv4 (RFC 1918), unici ma non ruotabili su Internet globale."
"IPv6 Site Local addresses","Are automatically setup for on-link","Are deprecated but they can be used","Are assigned by a central authority","Do not exist",B,"Gli indirizzi Site-Local sono stati deprecati in favore degli ULA, ma si possono ancora trovare in vecchie implementazioni."
"The IPv6 address FE80::... is","Currently not available","An address that can be used on a host for communicating with another host on the same link","An address for a public server","An address used by multiple devices",B,"FE80::/10 è il prefisso per gli indirizzi Link-Local, usati esclusivamente per comunicazioni all'interno dello stesso segmento di rete (link)."
"Using a privacy-aware autoconfiguration method, an IPv6 host contains:","Untraceable prefix and interface ID","Untraceable prefix","Valid only within VPN","With an untraceable interface ID",D,"Le estensioni per la privacy (RFC 4941) generano Interface ID casuali e temporanei per impedire il tracciamento del dispositivo nel tempo."
"In layer 3 MPLS-based VPN (BGP), packets to backbone have two labels.","Both used by Internal routers","Internal routers never swap external","The external label is used by internal (P) routers to forward towards PE","The internal label is used by internal (P) routers",C,"L'etichetta esterna (Tunnel Label) serve per il trasporto attraverso il backbone fino al PE di uscita; l'etichetta interna (VPN Label) identifica la VPN/cliente specifico."
"One of the main properties of 5G infrastructure is","Comeback to circuit switching","Joint use of virtualization and flexible control (SDN/NFV)","Virtualization on mobile terminals","Software emulators for design",B,"Il 5G si basa pesantemente su NFV (Network Function Virtualization) e SDN (Software Defined Networking) per la gestione flessibile delle risorse (Network Slicing)."
"Fact that a VPN supports centralized Internet access means that","Packets to Internet follow sub-optimal path","Must use single ISP","Public traffic uses corporate net negligibly","No need for firewalls",A,"Tutto il traffico, anche quello per Internet, deve attraversare il tunnel VPN fino alla sede centrale per essere filtrato, causando percorsi più lunghi (tromboning)."
"The MAC address of an ICMPv6 Neighbor Solicitation packet is","Broadcast","Anycast","Multicast","Unicast",C,"Il pacchetto IP è multicast (Solicited-Node), e viene incapsulato in un frame Ethernet con indirizzo MAC multicast derivato (33:33:xx:xx:xx:xx)."
"Indicate the FALSE claim about SSL VPN","No authentication of IP header","Weak against DOS","Standard solutions are available","Tunnels over TCP/UDP used",C,"Le SSL VPN sono spesso proprietarie o basate su TLS standard ma implementate in modi diversi (es. OpenVPN, portali web), a differenza di IPsec che è uno standard rigido di livello rete."
"Handover in cellular networks refers to","Movement from cell to cell without interruption","Use of terminal in different operator network","Movement without active comms","Turn on after inactivity",A,"L'handover è il processo di trasferimento della sessione attiva da una stazione base all'altra mentre l'utente si muove."
"In FDMA cellular network","Only one frequency adopted","Voice calls not possible","Frequencies randomly selected","Available frequencies divided among neighboring cells and reused in far cells",D,"FDMA divide lo spettro in canali di frequenza; per evitare interferenze, le frequenze sono riusate solo in celle distanti (Cluster reuse)."
"In MPLS label binding consists in","Including label in BGP","Associating label to routing path","Associating a label to a forwarding equivalence class (FEC)","Sending label to another node",C,"Il binding è l'associazione logica tra una specifica etichetta e una classe di traffico (FEC, es. un prefisso IP destinazione)."
"In context of VPNs traffic encryption is","Not utilized","Essential basis","Important but not strictly necessary (available as option)","Important but not supported",C,"Sebbene raccomandata, la cifratura non è strettamente obbligatoria per definire una VPN (es. VPN MPLS separano il traffico logicamente senza cifratura di default)."
"Smallest aggregation for 130.192.0.0/25 and 130.192.1.0/25","130.192.0.0/24","130.192.1.0/24","130.192.1.0/23","130.192.0.0/23",D,"Le reti sono 0.0/25 e 1.0/25. Non sono contigue nel terzo ottetto (0 e 1). L'aggregazione minima che le copre entrambe è la /23 (che include 0.0-1.255)."
"The Count to Infinity","Link State algorithm","Transient period in Distance Vector","None","Helps understand unreachable node",B,"È un problema classico dei protocolli Distance Vector dove, in caso di rottura di un link, i router incrementano la metrica all'infinito prima di convergere."
"The Solicited Node Multicast Address is","Source address in NS","Target Address in ARPv6","Destination address in a Neighbor Solicitation packet","Target Address in ICMPv6",C,"È l'indirizzo di destinazione usato nel pacchetto Neighbor Solicitation per risolvere l'indirizzo Link-Layer (MAC) del destinatario."
"Regular Burst in GSM is used for","Call control info","Sending voice sample or control info","Connection phase","Only voice",B,"Il Regular Burst trasporta il traffico utente (voce/dati) e la segnalazione associata (FACCH)."
"Multicast groups in IPv4","Identified by list of IP addresses","Identified by special IP addresses that cannot be assigned to hosts","Identified by list of MAC addresses","Do not exist",B,"I gruppi multicast usano indirizzi di Classe D (224.0.0.0/4), che sono indirizzi logici di gruppo e non assegnati a singole interfacce."
"Label distribution in MPLS","Performed implicitly via OSPF","Not needed with BGP","Can be performed with RSVP","Involves hosts",C,"RSVP-TE è un protocollo usato per distribuire etichette, specialmente quando si richiede Traffic Engineering e prenotazione di banda."
"OSPF-TE and ISIS-TE standardization aim","Distribute constrained data for constraint-based routing","Faster convergence","Independence of control plane","Explicit routing support",A,"Le estensioni TE (Traffic Engineering) aggiungono informazioni sui vincoli (banda disponibile, colore link) agli annunci Link State per calcolare percorsi ottimizzati."
"Distance Vector routing algorithm","Shorter convergence time","Deployed in specific scenarios","Better stability","Outdated",B,"Sebbene meno usato nei grandi backbone rispetto al Link State, è ancora usato in scenari specifici (es. RIP in piccole reti o BGP - che è un Path Vector - per inter-dominio)."
"Basic idea of MPLS","Inserting label in IP packets for path determination","Inserting label in L2 frames to identify protocol","Associating label to flow","Associating label for processing determination",C,"L'idea base è associare etichette corte ai pacchetti (indipendentemente dal protocollo di rete) per velocizzare e gestire l'inoltro (forwarding) nei nodi intermedi."
"Optical switch is capable of switching","Different optical channels on output","Packets based on header","Optical channel (wavelength) from input to different/same output","Optical channel to fixed output",B,"Un optical switch (OXC o ROADM) commuta segnali ottici (lunghezze d'onda) da una fibra di ingresso a una di uscita, possibilmente cambiando lunghezza d'onda."
"GRE (Generic Routing Encapsulation) utilized for","Identifying protocol in IP","Identifying protocol in Ethernet","Exchanging routing info","Encrypted tunneling",A,"GRE è un protocollo di tunneling che incapsula un'ampia varietà di protocolli di livello rete all'interno di pacchetti IP virtuali."
"Redistribution in routing","Redistributing traffic","Learning routes without exchange","Distributing routing table to memory","Distributing routes learned via one protocol into another protocol",D,"La redistribution serve a passare le rotte apprese da un protocollo (es. OSPF) dentro il database di un altro protocollo (es. BGP o RIP) sullo stesso router."
"In topology-based control-driven label binding","Traffic on different LSPs","LSP setup on route discovery","Manual config","BGP required",B,"In questo modo, le etichette vengono assegnate e distribuite automaticamente non appena il protocollo di routing scopre una nuova rotta (topologia)."
"DWDM allows to","Package fibers","Multiplex optical signals (wavelengths) on same fiber","Multiplex bit flows","Switch optical signal",B,"Dense Wavelength Division Multiplexing permette di trasmettere multipli segnali ottici a diverse lunghezze d'onda (colori) su una singola fibra fisica."
"IPv6 host autoconfigure using","Random 128 bit","Random interface ID + prefix","MAC address (EUI-64) + prefix from RA","MAC address + random prefix",C,"SLAAC (Stateless Address Autoconfiguration) usa il prefisso annunciato dal router (RA) e lo combina con l'Interface ID (spesso derivato dal MAC/EUI-64)."
"Modern Ethernet networks are","Based on hubs","Based on switches, segmented physically","Based on hubs, virtual VLAN","Based on switches, segmented virtually by VLANs",D,"Le reti moderne usano switch per evitare collisioni e VLAN per segmentare logicamente i domini di broadcast."
"DS-Lite technique based on","Private IPv4 never adopted","NAT on AFTR","IPv6 only hosts cannot connect","NAT on CPE",B,"In DS-Lite, la CPE non fa NAT ma incapsula; il NAT (CGNAT) viene eseguito centralmente dall'ISP sul router AFTR (Address Family Translation Router)."
"When IPv6 host needs MAC of IPv6 address","Broadcast ICMPv6","Broadcast ARP","Multicast ICMPv6","Unicast ICMPv6",C,"Usa Neighbor Solicitation inviata all'indirizzo Multicast Solicited-Node corrispondente all'indirizzo target."
"If IPv4 host wants to communicate with IPv6 host","Compatibility ensured","Use third node to replace IPv6 header","Cannot do it","Use third node to replace destination address (NAT-PT/NAT64)",D,"È necessario un meccanismo di traduzione (come NAT64/DNS64) che mappi e traduca gli header e gli indirizzi tra i due protocolli incompatibili."
"Autonomous System is","Set of subnets topologically proximal managed by single entity","Uses EGP","Subnet static routing","ID 2 bytes",A,"Un AS è un gruppo di reti IP sotto il controllo amministrativo di una singola entità che presenta una politica di routing comune verso Internet."
"OSPF routing protocol","Suitable large networks no exchange","Obsolete","Supports hierarchical routing","Small size only",C,"OSPF supporta la divisione in Aree (Area 0, Area 1, ecc.) per limitare il flooding e gestire grandi reti in modo scalabile."
"Provider provisioned access VPN, remote host has","Single address","Single address corporate","Two addresses (one for VPN gateway, one for comms)","Two addresses corporate",C,"L'host ha solitamente un indirizzo fisico per connettersi a Internet (verso il gateway VPN) e un indirizzo virtuale interno al tunnel per comunicare con la rete aziendale."
"Token Bucket controls","Max crossing time","WFQ","Min speed","Burst size and avg rate",D,"Il Token Bucket definisce una velocità media (rate dei gettoni) e una dimensione massima del burst (capacità del secchio)."
"Unlike IPv4, IPv6","No ICMP","No MAC discovery","No broadcast addresses","No TTL",C,"IPv6 non ha indirizzi broadcast; utilizza indirizzi multicast (es. all-nodes) per ottenere funzioni equivalenti in modo più efficiente."
"High Speed Packet Access (HSPA)","Dedicated channels","TTI 10ms","Shared channels to reduce waste","TTI 1ms OFDMA",C,"HSPA introduce canali condivisi ad alta velocità (HSDPA/HSUPA) per migliorare l'efficienza spettrale rispetto ai canali dedicati UMTS."
"DiffServ vs IntServ","DiffServ guarantee IntServ not","DiffServ new protocols","IntServ guarantee QoS, DiffServ does not (strict)","DiffServ max delay",C,"IntServ offre garanzie rigide per flusso (hard QoS) tramite prenotazione; DiffServ offre garanzie statistiche per classe (soft QoS) ed è più scalabile."
"Gre protocol purpose","Protect packets","Encapsulation for tunneling","Authentication","Integrity",B,"Lo scopo principale di GRE è incapsulare pacchetti di vari protocolli di rete per trasportarli su un'infrastruttura IP."
"IPv6 Aggregatable Global Unicast addresses","Aggregable small range","Unique globally","Local only","NAT needed",B,"Sono gli indirizzi pubblici di IPv6, unici globalmente e strutturati gerarchicamente per facilitare l'aggregazione nelle tabelle di routing."
"OSPF Internal Router maintains","Detailed topology of domain","Only topology of its area","Topology of area and summaries of others","Topology of area, backbone and summaries",C,"Un router interno conosce la topologia completa (LSDB) solo della propria area; le altre aree sono conosciute tramite rotte sommarie (LSA Type 3)."
"GRE tunnel headers","One","Two (internal private only)","Two (no limitations)","Two (external private only)",C,"Ci sono due header IP: quello originale (interno) e quello di consegna (esterno/tunnel). Non ci sono limitazioni intrinseche sugli indirizzi (pubblici o privati)."
"Bursts are","Packets IP","Frames radio","Data blocks on circuit switched","Group of cells",C,"Nel contesto GSM/TDMA, i burst sono le unità fisiche di trasmissione inserite negli slot temporali."
"Path Vector (BGP) technique","Stores list of AS to traverse","Stores list of routers","Next AS","Next Router",A,"Il Path Vector (attributo AS-PATH) memorizza la sequenza degli Autonomous System attraversati per prevenire loop inter-dominio."
"BGP policy vs topology","Topology precedence","Policy precedence","Cost precedence","Hierarchical limit",B,"In BGP, le politiche amministrative (Policy) impostate dall'operatore vincono sempre sulle metriche puramente tecniche o topologiche."
"MPLS router operations","Cannot modify","PUSH outer, POP outer, SWAP outer","PUSH only if one","PUSH any",B,"Le operazioni MPLS agiscono sulla cima dello stack delle etichette (Label Stack)."
"Overlay VPN distinguished by","Same equipment as direct","No confidential","Provider unaware","Managed without ISP assent",C,"Nelle VPN Overlay, il Service Provider fornisce solo connettività IP di base e non partecipa al routing della VPN; è trasparente ('unaware') della struttura della VPN."
"UMTS connection","Reuse frequencies","No reuse (codes)","Reuse optimized","No reuse times",B,"UMTS usa CDMA (W-CDMA), dove tutti trasmettono sulla stessa frequenza contemporaneamente ma sono separati da codici ortogonali; il riuso è 1 (ogni cella usa la stessa freq)."
"IPv6 on LAN forwarding","No Neighbor Discovery","No ND for multicast/broadcast","ND for all","No ND for multicast (mapping rule)",D,"Per i pacchetti multicast IPv6, l'indirizzo MAC di destinazione viene derivato direttamente dall'indirizzo IP (regola 33:33:xx...), quindi non serve ND per risolverlo."
"Interface stack radio","MAC, IP, TCP","MAC, Manage","MAC, RLC, RRC","Single level",C,"Lo stack radio (es. LTE/UMTS) comprende i livelli fisici, MAC, RLC (Radio Link Control) e RRC (Radio Resource Control) per la segnalazione."
"Loop in Link State?","Yes","No complete vision","No flooding","No hold down",A,"Durante i transitori (es. mentre i nuovi LSA si propagano), i database dei router possono essere disallineati temporaneamente, causando micro-loop."
"Network Interface IPv4 and IPv6 receives","Both","Only IPv4 in IPv6","Only IPv6","Only IPv6 in IPv4",A,"Un'interfaccia Dual Stack è perfettamente in grado di ricevere e processare nativamente sia pacchetti IPv4 che IPv6."
"RIP limitation vs IGRP","Proprietary","Metric less indicative (Hop count)","No hierarchical","Distance vector",B,"RIP usa solo Hop Count come metrica, che ignora la velocità del link (un link 56k vale come un 10G); IGRP/EIGRP usano metriche composite (banda, ritardo)."
"Tunnel mode IPsec encrypts","Only payload","IP header, TCP/UDP, Payload","TCP/UDP payload","Whole external",B,"Cifra tutto il pacchetto originale (L3 header + L4 + dati)."
"MPLS LSP meaning","Alternative paths","Map","Shortest path","Created for FEC",D,"L'LSP è il percorso creato per trasportare i pacchetti che appartengono a una specifica Forwarding Equivalence Class (FEC)."
"Split Horizon technique","Route received not advertised back to source","Prefix not advertised to next hop","Destination unreachable","None",B,"Previene i loop evitando di annunciare una rotta all'interfaccia da cui quella rotta è stata appresa."
"LSA Router Link describes","Link to adjacent router","Summary","List of routers","Link parameters",A,"Un LSA di tipo 1 (Router Link) elenca i link del router e i vicini connessi ad essi all'interno dell'area."
"LTE channel access","FDMA","CDMA","OFDMA","TDMA",C,"LTE utilizza OFDMA (Orthogonal Frequency Division Multiple Access) per il downlink e SC-FDMA per l'uplink."
"QoS guaranteed when","ATM used","Nodes use scheduling/shaping","Apps code info","None",B,"La QoS richiede meccanismi attivi nei nodi di rete (code, scheduler, policer) per trattare diversamente i flussi."
"Ethernet collision reason","Full duplex","Switched half duplex","Queue","Contention",B,"Le collisioni avvengono negli switch solo se le porte sono configurate in Half Duplex (CSMA/CD attivo); in Full Duplex non ci sono collisioni."
"Source Routing forwarding","Simple host","Minimize bytes","Sender knows topology","Standard IP",C,"Nel Source Routing, il mittente specifica la sequenza di router che il pacchetto deve attraversare, richiedendo conoscenza della topologia."
"IPv6 Reboot address","Random","FE80::/32","Link-local same (MAC based)","Router config",C,"L'indirizzo Link-Local è solitamente derivato staticamente dal MAC address (EUI-64), quindi rimane lo stesso tra i riavvii (a meno di Privacy Extensions)."
"Multipath routing","Supported RIP","Faster transient","Can cause loops if costs differ","TCP only",C,"Se i percorsi hanno costi diversi e i router non sono sincronizzati perfettamente o usano regole diverse, il pacchetto può rimbalzare (loop)."
"Isolated Routing","Exchange neighbors","Exchange all","Based only on local traffic","Partition",C,"Il routing isolato (es. Hot Potato, Flooding puro) non usa scambi di protocollo complessi ma decisioni basate su info locali o traffico passante."
"MPLS Label Swapping","Not suitable QoS","Keep same label","Same table","Requires Path Setup",D,"Il Label Swapping richiede che le tabelle di forwarding (LFIB) siano popolate in anticipo (Path Setup) tramite protocolli di segnalazione (LDP/RSVP)."
"Neutral Access Point (NAP/IXP)","Router central","Peering (L2 connection)","L2 connection","L3 visibility",B,"Un NAP o IXP è un'infrastruttura fisica (solitamente uno switch L2) dove diversi AS si collegano per fare peering."
"OSPF metric","Length","Bandwidth/Delay","Configurable metric (cost)","Hop Count",C,"OSPF usa un 'costo' arbitrario per link, che di default è inversamente proporzionale alla banda (Reference Bandwidth / Link Bandwidth)."
"802.11 Collision result","No ACK","RTS","NACK","RTS sender",A,"Nel Wi-Fi non c'è rilevamento collisioni (CD); una collisione si deduce dalla mancata ricezione dell'ACK."
"Trunk port Ethernet switch","Send traffic without VLAN","Send traffic with VLAN tag","Receive single VLAN","Send single VLAN",B,"Una porta Trunk (802.1Q) aggiunge un tag al frame Ethernet per indicare a quale VLAN appartiene, trasportando più VLAN."
"6PE solution labels","Inner->IPv6, Outer->IPv6","Internal->PE","External->PE","Outer->PE",D,"In 6PE, l'etichetta esterna serve per attraversare il core MPLS IPv4 fino al PE di uscita; l'etichetta interna indica che il payload è IPv6."
"FDMA Network","One frequency","No voice","Random freq","Frequencies divided and reused",D,"Le frequenze sono risorse scarse, quindi vengono riutilizzate in celle non adiacenti (cluster) per minimizzare l'interferenza co-canale."
"IPv6 strength","Encryption","Address space","10Gb/s","Names",B,"Il vantaggio principale e trainante di IPv6 è l'enorme spazio di indirizzamento (128 bit) rispetto a IPv4."
"One reason enabling IPv6 spread","Scarce MAC","Inefficiency of private IPv4 (NAT complexity)","Multicast","Operators lazy",B,"La complessità e i limiti del NAT su larga scala (Carrier Grade NAT) spingono verso l'adozione di indirizzi globali IPv6."
"ARP Request across subnet (A to B via switch)","Arrives","Never arrives","Not sent (outside network)","Always",C,"Se A e B sono su sottoreti logiche diverse (mask diverse) ma stesso switch L2, A non manda ARP per B perché lo ritiene 'remoto'. Manda ARP per il Gateway."
"Stateless Autoconfig Privacy issue","No problem","No encryption","Trackable interface (same ID)","No IPsec",C,"L'uso del MAC address per generare l'Interface ID rende il dispositivo tracciabile ovunque si colleghi. Le Privacy Extensions risolvono questo problema."
"Optical networks characterized by","Fiber links","Switching optical channel (wavelength)","Routing IP","Transport data labels",B,"La caratteristica distintiva è la capacità di commutare interi canali ottici (lambda) senza conversione ottico-elettrico-ottico (OEO)."
"Variable Length Prefixes support","Netmask config","Automatic class","Routing info includes subnet mask","OSPF mandatory",C,"Per supportare VLSM (Variable Length Subnet Masking) il protocollo di routing deve trasportare la maschera di sottorete insieme al prefisso (protocolli Classless)."0...0...0
"Quale è la funzione dello ""scope"" associato agli indirizzi IPv6?","Serve a risolvere, in casi particolari, l'ambiguità riguardo il mittente.","Non esiste uno scope associato agli indirizzi IPv6.","Serve per poter utilizzare gli indirizzi globali.","Serve per poter utilizzare gli indirizzi anycast.",A,"Lo scope (es. link-local, site-local, global) definisce l'ambito di validità e unicità dell'indirizzo, risolvendo ambiguità su dove un pacchetto può essere instradato."
"In the 6PE solution packets traveling through the MPLS backbone have two labels;","The internal label is used by internal (P) routers to forward packets towards an IPv6 destination.","The external label is used by internal (P) routers to forward packets towards an IPv6 destination.","The internal label is used by internal (P) routers to forward packets towards a PE router.","The external label is used by internal (P) routers to forward packets towards a PE router.",D,"In 6PE, l'etichetta esterna (transport label) serve ai router P per commutare il pacchetto verso l'egress PE, mentre quella interna identifica la destinazione IPv6 finale."
"In IEEE 802.11 networks, the hidden terminal problem refers to","The possibility that two or more wireless nodes can interfere with each other without knowing it","A security threat caused by an Intruder in the BSS","A failure in the association to an Access Pont during the passive scanning procedure","The use of the same MAC address by more than one node to the same BSS",A,"Il problema del terminale nascosto si verifica quando due nodi non si sentono a vicenda ma sono entrambi connessi allo stesso AP, causando collisioni al ricevitore."
"Due host collegati ad uno switch Ethernet","Possono comunicare solo se appartenenti alla stessa VLAN, qualsiasi sia la configurazione della rete","Possono comunicare anche se appartenenti a VLAN diverse, dipende dalla configurazione della rete","Devono poter comunicare sempre senza utilizzare un router intermedio","Non possono comunicare utilizzando un router in quanto connessi allo stesso switch.",B,"Se le porte sono configurate su VLAN diverse, gli host possono comunicare solo se c'è un router (o switch L3) che instrada il traffico tra le VLAN (Inter-VLAN routing)."
"Le reti 192.168.1.0/24 e 192.168.2.0/24 sono aggregabili in:","192.168.0.0/23","192.168.1.0/23","0.0.0.0/0","Non sono aggregabili.",C,"Le reti non sono contigue nel blocco binario per formare una /23 (la 1.0 e la 2.0 sono separate; servirebbero 0.0 e 1.0, oppure 2.0 e 3.0). L'aggregazione minima comune valida è molto più ampia (es. /22 o 0.0.0.0/0 come 'catch-all'). [Nota: la soluzione nel testo indica 0.0.0.0/0 probabilmente come unica opzione valida tra quelle date]."
"La tecnica ""Path Vector"" impiegata dal BGP:","Memorizza nei Path Vectors l'elenco degli Autonomous Systems da attraversare per raggiungere una data rete di destinazione","Memorizza nei Path Vectors l'elenco di routers da attraversare per raggiungere una data rete di destinazione","Memorizza nei Path Vectors il prossimo Autonomous System da attraversare per raggiungere una data rete di destinazione","Memorizza nei Path Vectors il prossimo router da attraversare per raggiungere una data rete di destinazione",A,"L'attributo AS_PATH del BGP contiene la sequenza degli AS attraversati, fondamentale per evitare loop di routing inter-dominio."
"The Interface ID of an ipv6 address","Is assigned by the network administstrator according to a hierarchical schema","Can be arbttranty selected. sometimes It ts denved from the MAC address of the Interface","Is asstqned by the ISP according to a hierarchical scherna","Is the same for all devices with the same link",B,"L'Interface ID (gli ultimi 64 bit) può essere generato tramite EUI-64 (basato sul MAC), casualmente (Privacy Extensions) o assegnato manualmente."
