domanda,opzioneA,opzioneB,opzioneC,opzioneD,soluzione,motivazione
14. L'architettura MPLS (multi-protocol label switching) è caratterizzato da (1874),Un diverso meccanismo (rispetto all'IP puro) per decidere l'interfaccia di uscita verso cui un pacchetto debba essere inoltrato.,Un supporto particolarmente evoluto per fornire servizi a qualità garantita.,Protocolli di routing particolarmente veloci ad aggiornare le tabelle di routing in seguito a cambiamenti topologici in modo da recuperare velocemente i guasti.,Terminali di rete intelligenti in grado di personalizzare i servizi ricevuti dalla rete.,A,"MPLS usa il 'Label Swapping' (corrispondenza esatta su etichetta corta) invece del 'Longest Prefix Match' sugli indirizzi IP per decidere l'inoltro, rendendo il forwarding più efficiente e flessibile."
"15. In the fully operational OSPF protocol, all routers have in memory: (2598)",The same tree of optimal routes,The database describing the area to which they belong,The same database describing the entire AS,A Distance Vector set of all neighboring routers,B,"In OSPF, tutti i router appartenenti alla stessa area mantengono una copia identica del Link State Database (LSDB) di quell'area."
16. Il frequency hopping (FH) permette (2179),di trasmettere bursts consecutivi su frequenze diverse a discapito di una riduzione della capacità,di trasmettere slot consecutivi sulla stessa frequenza con una riduzione della capacità,di trasmettere bursts consecutivi su frequenze diverse con un aumento della capacità,di trasmettere bursts consecutivi sulla stessa frequenza,A,"Il Frequency Hopping cambia la frequenza portante per ogni burst (o slot) di trasmissione. Questo migliora la robustezza contro le interferenze e il fading (diversity), anche se introduce complessità e overhead di gestione."
17. L'autoconfigurazione stateless in IPv6 richiede: (1892),Un server DHCPv6 (Dinamic Host Configuration Protocol version 6).,Un server presente sulla rete locale.,Un server presente sulla rete aziendale (intranet).,E' possibile anche se non si è in presenza di server o router.,D,"L'autoconfigurazione Link-Local (fe80::) avviene automaticamente basandosi sul MAC address (o random) senza bisogno di router o server. Per indirizzi globali stateless (SLAAC) serve un router, ma la domanda è generica sull'autoconfigurazione (che include la link-local)."
18. i gruppi multicast in ipv4 (2149),vengono identificati da particolari indirizzi IP che non possono essere assegnati alle singole stazioni,vengono identificati dalla lista degli indirizzi MAC delle stazioni appartenenti ad un dato gruppo.,non esistono,vengono identificati dalla lista degli indirizzi IP delle stazioni appartenenti ad un dato gruppo.,A,"Il Multicast IPv4 usa gli indirizzi di Classe D (224.0.0.0/4). Questi indirizzi identificano un gruppo logico di destinatari, non una singola interfaccia di rete."
19. Un LSA Router Link del protocollo OSPF descrive: (2170),Un link che connette l'advertising router con uno dei router ad esso adiacenti,Un riassunto delle reti raggiungibili,La lista dei router connessi in una LAN,Il valore corrente dei parametri relativi ad un link tra due router,A,Gli LSA di Tipo 1 (Router Link) descrivono lo stato e il costo dei link del router che li genera verso i suoi vicini o verso le reti stub.
"20. when a MPLS frame has multiple labels, routers: (2546)",only can swap the next external and the next label to each other,only process the next internal label to decide how to forward the frame,can swap any of the labels,only process the next eternal label to decide how to forward the frame,D,"In MPLS, i router intermedi (LSR) elaborano e commutano (swap/push/pop) solo l'etichetta più esterna (top label) dello stack."
21. An IPSec-based VPN (Virtual Private Network) (2516),Requires that the end points support the IPSec protocol,Requires that the involved Gateway supports the IPsec protocol,Deploys tunneling to allow encryption and/or authentication of IP packets exchanged by corporate hosts,"The encryption is mandatory, while the authentication is optional",C,Le VPN IPSec utilizzano meccanismi di tunneling (come ESP o AH in tunnel mode) per cifrare e/o autenticare i pacchetti IP che viaggiano su reti non sicure.
22. Il protocollo GRE ha lo scopo di: (1891),Proteggere i pacchetti contro le intercettazioni.,Gestire l'incapsulamento di pacchetti da trasportare attraverso un tunnel.,Autenticare il mittente dei pacchetti.,Verificare l'integrità dei pacchetti in arrivo.,B,GRE (Generic Routing Encapsulation) è un protocollo di tunneling progettato per incapsulare un'ampia varietà di protocolli di livello rete all'interno di pacchetti IP virtuali. Di base non offre cifratura.
23. Nell'algoritmo di routing di tipo Path Vector: (1920),"Ogni record contenuto nel Path Vector contiene la destinazione, la distanza dal router in esame, e il next hop router per raggiungere quella destinazione","Ogni record contenuto nel Path Vector contiene la destinazione, la distanza dal router in esame, e il prossimo Autonomous System per raggiungere quella destinazione","Ogni record contenuto nel Path Vector contiene la destinazione, la distanza dal router in esame, e l'elenco dei router da attaversare per raggiungere quella destinazione","Ogni record contenuto nel Path Vector contiene la destinazione, la distanza dal router in esame, e l'elenco degli Autonomous System da attraversare per raggiungere quella destinazione",C,"In generale, un algoritmo Path Vector evita i loop portando con sé l'elenco completo dei nodi (router) attraversati. Nel caso specifico di BGP i nodi sono gli Autonomous System, ma la definizione teorica generale fa riferimento ai nodi del grafo (router)."
24. Il protocollo RIP prevede meccanismi per ridurre la possibilità di verificarsi di loop: (1930),Attraverso l'analisi dei pacchetti in transito e l'identificazione di quelli che passano più di una volta dallo stesso router,"Per mezzo di processi di ""traceroute"" attivati periodicamente","Attraverso meccanismi di ""Split-Horizon"" e di ""Hold-Down""",Nessuna delle risposte precedenti,C,Split Horizon (non inviare route indietro da dove sono venute) e Hold-Down Timer (attendere prima di accettare nuove info su route cadute) sono i meccanismi classici di RIP per mitigare i loop.
"25. Le reti private virtuali (virtual private network, VPN) vengono utilizzate per (1901)",Trasportare traffico privato su una infrastruttura condivisa ricreando le stesse condizioni che si avrebbero tramite l'utilizzo di una infrastruttura privata,Suddividere una rete locale aziendale in una serie di sottoreti separate per le diverse funzioni aziendali,Partizionare una rete privata in varie reti virtualmente separate,Nessuna delle precedenti,A,Definizione classica di VPN: usare una rete pubblica (condivisa) come Internet per connettere sedi private come se fossero collegate da cavi fisici diretti.
"26. In una interfaccia radio, tra le tante funzioni il MAC layer (2196)",Permette il controllo del flusso,Permette l'accesso al canale,Esegue la negoziazione e il controllo del QoS,Nessuna delle precedenti,B,"Il livello MAC (Medium Access Control) gestisce le regole con cui i vari dispositivi accedono al mezzo trasmissivo condiviso (l'aria, nelle reti radio) per evitare collisioni."
27. Filtering table of a VLAN: (2597),It can only be updated manually,It can be updated manually or automatically with appropriate protocols,Contains only local network Ips,Nessuna delle precedenti,B,Le tabelle che associano porte a VLAN possono essere configurate staticamente dall'amministratore o dinamicamente tramite protocolli come GVRP o MVRP.
28. Select the correct response (2529),End to end VPN is always better than site to site VPN,Firewall and IDS cannot be placed inside a network protected by a VPN gateway,Skewed channel is a type of IPsec tunnel,None of the options,D,"Le opzioni A, B e C sono tecnicamente errate o prive di senso (skewed channel). Firewall e IDS possono stare dietro una VPN, e 'meglio' dipende dal caso d'uso."
29. One of the protocols used in MPLS for label distribution is: (2538),L2TP,OSPF,IS-IS,BGP,D,"Sebbene LDP sia il protocollo principale, BGP (MP-BGP) è estensivamente usato per distribuire etichette, specialmente in contesti MPLS VPN e 6PE."
30. Il fattore che ha contribuito al rallentamento della diffusioner di Ipv6 é: (2544),La possibilità di utilizzare indirizzi ipv4 privati per connettersi a internet,Una diminuzione del numero di dispositivi,Un ritiro e redistribuzione piú accorta degli indirizzi IPv4 già usati,Un miglior utilizzo della rete internet da parte degli utenti finali,A,"L'uso del NAT (Network Address Translation) con indirizzi privati (RFC 1918) ha permesso di collegare molti host usando pochi indirizzi IPv4 pubblici, riducendo l'urgenza percepita di passare a IPv6."
31. The Timing Advance in the GSM is (2582),The capability of a mobile terminal to operate in different time zones,The beginning of the transmission at a mobile terminal after the beginning of its assigned time-slot,The beginning of the transmission at a mobile terminal before the beginning of its assigned time-slot,The beginning of the transmission at a mobile terminal before the creation of the Stand-alone Dedicated Control Channel (SDCCH),C,"Il Timing Advance è un meccanismo che ordina al terminale mobile di anticipare la trasmissione per compensare il ritardo di propagazione, assicurando che il segnale arrivi alla stazione base nello slot temporale corretto."
32. La differenza tra gli algoritmi di instradamento di tipo link state e distance vector si può riassumere come segue (2031),Gli algoritmi link state inviano informazioni sulla rete nella sua interezza a tutti i nodi della rete; gli algoritmi distance vector inviano informazioni sulla topologia locale solo ai nodi vicini,Gli algoritmi link state inviano informazioni sulla topologia locale solo ai nodi vicini; gli algoritmi distance vector inviano informazioni sulla rete nella sua interezza a tutti i nodi,Gli algoritmi link state inviano informazioni sulla topologia locale a tutti i nodi della rete; gli algoritmi distance vector inviano informazioni sulla rete nella sua interezza solo ai nodi vicini,Nessuna delle precedenti,C,"Nel Link State, ogni router inonda (flooding) le info sui *propri link* a *tutti* i router. Nel Distance Vector, ogni router invia la *tabella di routing completa* (info globali) solo ai propri *vicini*."
33. Gli indirizzi Ipv6 (1907),Permettono la comunicazione di stazioni IPv6 con stazioni IPv4 senza nessun particolare meccanismo aggiuntivo.,Mantengono la stessa suddivisione flessibile tra una parte network e una parte host già presente in IPv4.,"Sono rigidamente partizionati in una parte network, subnetwork e host.",Sono rigidamente partizionati in una parte network e una parte host.,B,"IPv6 mantiene il concetto CIDR di prefisso di rete e parte host (Interface ID), permettendo maschere di sottorete di lunghezza variabile (anche se /64 è lo standard de facto per le LAN)."
"34. Nei protocolli di routing, il periodo di transitorio: (1914)",è presente solo quando vengono adottati gli algoritmi più semplici (es. Distance Vector),"Non è mai presente, in quanto è una caratteristica dei protocolli che lavorano a livello data-link (es. Spanning Tree)",Si verifica sempre nel periodo immediatamente successivo al rilevamento di un guasto,Si verifica sempre nel momento in cui una parte della rete cambia di stato,D,Il transitorio (o convergenza) è il lasso di tempo in cui i router stanno aggiornando le loro tabelle a seguito di un cambiamento di topologia (guasto o aggiunta di link) e non hanno ancora una visione consistente della rete.
35. Le entry del filtering database di uno switch Ethernet (1969),Hanno tutte validità temporale infinita,Hanno una validità temporale generalmente impostabile dall'amministratore dello switch,Hanno tutte validità temporale inferiore al secondo per poter gestire al meglio gli spostamenti dei dispositivi,"Hanno una validità temporale che varia nel tempo, in base al numero di trame ricevute",B,"Le voci nella tabella MAC address (CAM table) hanno un timeout di inattività (aging time), che è solitamente configurabile (default spesso 300 secondi)."
36. When an IPv6 host needs to learn the MAC address associated to a given IPv6 address (2519),It can send a specific ICMPv6 message in multicast over the network,It can send a specific ICMPv6 message in unicast over the network,It can send an ARP Request in broadcast over the network,It can send a specific ICMPv6 message in broadcast over the network,A,IPv6 usa il protocollo Neighbor Discovery (NDP) invece di ARP. Invia un messaggio 'Neighbor Solicitation' incapsulato in ICMPv6 verso un indirizzo Multicast (Solicited-Node multicast address).
37. Which of these techniques is not a solution for the IPv4-IPv6 transition? (2483),6mix4,Teredo,6to4,6over4,A,"Teredo, 6to4 e 6over4 sono meccanismi di transizione/tunneling reali. '6mix4' è un nome inventato non esistente negli standard."
38. One of the reasons that are favoring the spread of the IPv6 protocol is (2520),The more and more widespread need to use multicast applications,The low inclination of network operators to modify the configuration of their own networks,The possible inefficiency of the private IPv4 addressing,The lack of MAC addresses,C,"L'indirizzamento privato IPv4 con NAT introduce complessità, rompe il modello end-to-end e può essere inefficiente per certe applicazioni P2P o real-time, spingendo verso l'adozione di IPv6."
39. Il Multipath routing: (2175),è supportato dalle maggiori implementazioni di RIP,Permette ai router di utilizzare percorsi multipli durante i transitori sulla rete,Può essere causa di loop se si ammette che i percorsi utilizzati possano avere costi differenti,E consigliato solamente se il traffico dati 'e composto prevalentemente da pacchetti TCP,C,"Se i pacchetti vengono inoltrati su percorsi con costi diversi senza un attento controllo (come in ECMP che richiede costi uguali o condizioni rigide), si rischia di creare cicli di instradamento."
40. Due trame ethernet possono collidere per quale motivo? (1954),Switched full duplex,Switched half duplex,Per colpa della coda nei buffer dello switch,Capita spesso a causa della contesa del canale,B,In una rete moderna Full-Duplex non ci sono collisioni. Le collisioni avvengono solo in reti con hub o in connessioni 'Half Duplex' dove trasmissione e ricezione non possono avvenire contemporaneamente.
41. Quale di queste tecniche non è una soluzione per la transizione IPV4-IPV6? (1959),6to4,Teredo,6over4,6mix4,D,"Come nella domanda 37, '6mix4' è la risposta corretta perché non è una tecnica esistente."
42. What did it contribute to slow down tho spread of IPv60 (2611),The recall and a more careful reallocation of all the IPv4 addresses already in use,A more careful utilization of the Internet network by final users,The possibility to use pnvate IPv4 addresses for the Internet access,The decrease of the number of connected devices,C,"L'uso di indirizzi privati combinato con il NAT ha permesso di estendere enormemente la vita utile di IPv4, rallentando la necessità di migrare a IPv6."
"43. Si consideri una semplice topologia di rete in cui sono presenti quattro router (A, B, C, D), collegati tra di loro ad anello (A-B-C-D-A). Se gli host utilizzano un algoritmo di routing di tipo flooding e il router A invia un pacchetto a D, quante copie del medesimo pacchetto saranno recapitate al router D? (2163)",1,2,4,E proporzionale al valore del campo Time To Live presente nel pacchetto,B,"In un anello, A può raggiungere D tramite due direzioni (orario e antiorario). Con il flooding puro, il pacchetto viene inviato su tutte le interfacce eccetto quella di arrivo, quindi D riceverà una copia da B e una da C."
"44. Given a network based on several physical networks interconnected by routers and a range of IP addresses to use in that network, it is possible to define an addressing plan that optimizes routing on a given router of the network by (2691)",Assigning to the various physical networks distinct network IDs randomly selected within the address range given for the entire network,"Splitting the network in areas and defining, within the given address range, smaller distinct address ranges to use in each area",Assigning to the various physical networks distinct network IDs selected within the address range given for the entire network.,"In particular, this assignment must proceed from in a decreasing order of network size",B,"L'assegnazione gerarchica degli indirizzi (assegnare range contigui ad aree specifiche) permette la 'Route Aggregation' (summarization), riducendo la dimensione delle tabelle di routing."
45. Which of the followtng choices is not an Adaptive Routing algorithm? (2588),Selective Flooding,Isolated Routing,Link State,Centralized Routing,A,Il Flooding (anche se selettivo) è una tecnica di inoltro che non adatta il percorso in base al carico o allo stato della rete in modo intelligente come fanno Link State o Distance Vector; è una strategia 'bruta'.
47. Il protocollo di routing OSPF sceglie il percorso verso una destinazione tenendo conto di: (1933),Lunghezza di ciascun link lungo il percorso,Banda e ritardo per ogni link,Può essere configurato ad utilizzare svariate metriche la cui semantica viene stabilita dal gestore della rete,Hop Count,C,"Sebbene il default di OSPF sia basato sulla banda (10^8/BW), la metrica è un valore adimensionale (costo) che l'amministratore può manipolare per riflettere banda, ritardo o policy amministrative."
48. A consequence of the deployment of VLANs in a local area network is: (2674),The network security increases as frames are encrypted,"The creation on virtual interfaces on switches, which, since virtual, cannot have failures",Users must be authenticated before connecting to the VLAN,The broadcast traffic is bounded to the VLAN where it has been generated,D,La funzione primaria delle VLAN è segmentare il dominio di broadcast. Il traffico broadcast generato in una VLAN non raggiunge dispositivi in altre VLAN.
49. Qual è l'uso dei meccanismi di policing? (1877),Servono all'utente per concordare con il fornitore il livello di QoS da ottenere.,Servono al fornitore di servizi per verificare che il traffico immesso dal cliente sia conforme agli accordi presi.,Servono all'utente per verificare che il traffico in arrivo dal fornitore sia conforme agli accordi presi.,Sono usati nei vari router per garantire un tempo massimo di attraversamento per ciascuno di essi.,B,Il Traffic Policing controlla che il traffico in ingresso rispetti i parametri (es. banda massima) del contratto (SLA) e scarta o marca i pacchetti in eccesso.
50. La metrica (costo) in un algoritmo di instradamento esprime (1972),Il peso da assegnare ad un collegamento e usato nella selezione del cammino,La probabilità che venga utilizzato il cammino più breve,La complessità di calcolo dell'algoritmo,Nessuna delle precedenti,A,Il costo è il valore numerico assegnato a un link o percorso. L'algoritmo di routing cerca di minimizzare la somma dei costi per trovare il cammino ottimo.
51. La combinazione di meccanismi di secchiello dei token (o secchio bucato) e Weighted Fair Queueing (WFQ) serve a garantire: (1908),Un tempo di attraversamento massimo di un router.,Un tempo di attraversamento massimo di un NAT.,Una banda massima per ogni flusso di pacchetti.,"Un burst massimo di pacchetti consecutivi, per ciascun flusso.",A,"Il Token Bucket controlla il burst e la velocità media (policing/shaping), mentre il WFQ gestisce lo scheduling equo tra i flussi. Insieme, permettono di fornire garanzie deterministiche sul ritardo (tempo di attraversamento) per flussi conformi (modello IntServ)."
52. Le soluzioni di VPN (virtual private network) basate su SSL (secure socket layer) consentono: (2047),Di distribuire in modo sicuro su diversi server applicazioni basate sul web,Di creare cluster di server privati,Ad un'azienda di rendere disponibili in modo sicuro ai propri dipendenti fuori sede specifiche applicazioni aziendali.,La realizzazione di un backbone sul quale un fornitore di servizi (service provider) può facilmente ed efficientemente fornire servizi di connettività ai suoi clienti,C,Le SSL VPN (spesso clientless o via browser) sono ideali per l'accesso remoto granulare a specifiche applicazioni web o interne senza dover configurare tunnel IPSec complessi sui dispositivi client.
53. Un host appartenente ad una certa VLAN (1949),Può contattare solo host nella stessa VLAN,Può contattare host nelle altre VLAN tramite un router,Può contattare solo host nelle altre VLAN se lo switch è Layer 3,Non può contattare nessuno,B,Le VLAN sono domini di broadcast isolati. Per comunicare tra VLAN diverse è indispensabile un dispositivo di Layer 3 (router o switch L3) che faccia routing dei pacchetti.
54. Gli algoritmi di scheduling vengono utilizzati: (1889),"Nei router di accesso, per assicurarsi che il traffico generato da un utente sia conforme al profilo di traffico contrattato con il proprio service provider.","Nei firewall, per ritardare i pacchetti che entrano in una rete aziendale","Nei router, per decidere quale sia l'ordine con cui debbano essere trasmessi i pacchetti in attesa ad una interfaccia.","Nei router, per schedulare opportunamente l'elenco dei comandi di configurazione",C,"Lo scheduling (es. FIFO, WFQ, PQ) determina quale pacchetto prelevare dalla coda e trasmettere sul link quando c'è congestione, influenzando ritardo, jitter e fairness."
55. The Frequency Reuse in a cellular network refers to (2617),"The reuse of frequencies usually adopted for other services (for example, TV broadcasting)",The reuse of the same frequency to send consecutive text messages (SMS),The reuse of the same frequency for all the phone calls made by a terminal,The reuse of the same frequency in different cells that are sufficiently distant,D,Il riuso delle frequenze è il concetto base delle reti cellulari: le stesse frequenze radio possono essere riutilizzate in celle non adiacenti (per evitare interferenze co-canale) aumentando la capacità totale del sistema.
56. Nel protocollo di routing BGP: (1940),"Le informazioni di topologia hanno sempre la precedenza sull'applicazione delle politiche di instradamento (""policy"")","L'applicazione delle politiche di instradamento (""policy"") ha sempre la precedenza rispetto alle informazioni di topologia",Viene scelto sempre il percorso a costo inferiore verso ogni destinazione,"Viene scelto sempre il percorso a costo inferiore verso ogni destinazione, a meno di limitazioni intrinseche",B,"Il BGP è un protocollo ""Policy-Based"". Le decisioni di routing sono guidate primariamente dalle policy amministrative (accordi di peering, preferenze locali) piuttosto che dalla semplice metrica tecnica (come il numero di hop)."
57. What is the typical role of IPSec in VPNS? (1909),To distribute in a secure way the key required by other protocols to open a tunnel,To allow the transmission of authentication information (e.g. username and password) by users of access VPN,To open a managed secure tunnel across the public internet,To verify the user identity to allow other protocols to open tunnels only with authorized parties.,C,"IPSec crea un canale sicuro (tunnel) attraverso una rete pubblica (Internet) cifrando e autenticando i pacchetti IP, realizzando di fatto la VPN."
58. Virtual LANS (VLANs) are (2610),Networks that are able to emulate on a given LAN the presence of a remote device,Networks created only among Virtual Machines (VMs),Virtually distinct local area networks but created over a single physical infrastructure,Very high performance wireless networks,C,Le VLAN permettono di segmentare logicamente una singola infrastruttura fisica (switch e cavi) in molteplici reti LAN virtualmente separate.
"59. Il meccanismo dello ""Split Horizon"" permette di: (1918)",Eliminare la possibilità che si verifichino loop (percorsi di inoltro ciclici) in seguito a cambiamenti della topologia,Ridurre la probabilità che si verifichino loop in seguito a cambiamenti della topologia,"Disabilitare, durante la fase di convergenza, l'invio di pacchetti dati verso quelle destinazioni che potrebbero dare luogo a loop",Diminuire il traffico di routing implementando la fase di neighbor discovery,B,"Lo Split Horizon impedisce a un router di annunciare una route indietro verso l'interfaccia da cui l'ha imparata. Questo riduce drasticamente i loop (es. bouncing effect) nei protocolli Distance Vector, anche se non li elimina totalmente in reti complesse senza altre aggiunte (come il poison reverse)."
60. nella soluzione di livello 3 di vpn basate su MPLS e BGP i pachetti che transitano sulla dorsale MPLS hanno due etichette (2286),i router interni (p) non modificano(swap) mai l'etichetta più esterna,l'etichetta più esterna è usata dai router interni(p) per inoltrare verso un router PE,l'etichetta più interna è usata dai router interni(p) per inoltrare verso un router PE,entrambe le etichette sono usate dai router interni (P) per inoltrare pachetti verso router PE,B,In MPLS VPN: Etichetta esterna (Tunnel Label) = serve ai router P per commutare il pacchetto attraverso il backbone fino al PE di uscita. Etichetta interna (VPN Label) = serve al PE di uscita per identificare la specifica VPN/VRF del cliente.
61. The configuration of a switch port in access mode is used for (2594),Allowing the access to the switch only to specific flows that are not considered matchous,Enabling the access to the network,Assigning a packet received on that port to a specific VLAN,Assigning a packet sent through that port to a specific VLAN,C,Una porta in modalità Access appartiene a una sola VLAN. Qualsiasi pacchetto non taggato ricevuto su quella porta viene associato (taggato internamente) alla VLAN configurata per quella porta.
"62. Nel protocollo OSPF, gli LSA di tipo Network Link presenti nel Link State Database di un router contengono: (2171)",Le adiacenze di ogni router con le reti IP configurate sulle proprie interfacce,Le reti IP presenti nel dominio OSPF ma in aree differenti dall'area nella quale è situato il router,Le adiacenze con le reti di transito presenti nel dominio OSPF,Le adiacenze con le reti di transito presenti nell'area in esame,D,Gli LSA Tipo 2 (Network Link) sono generati dal Designated Router (DR) per descrivere il segmento di rete multi-accesso (rete di transito) e elencare tutti i router connessi a quel segmento all'interno dell'area.
63. The Mapping Address and Port (MAP) technique for the IPv4-IPv6 transition is based on (2401),"The utilization, on the Customer Premises Equipment (CPE), of an IPv6 address derived from the IPv4 address and the Port Set ID assigned by the provider to the customer","The utilization, on the Border Relay, of an IPv6 address derived from the IPv4 address and the Port Set ID assigned by the provider to the various customers","The utilization, on the Customer Premises Equipment (CPE), of an IPv6 address selected among a fixed set of addresses defined by a standard","The utilization, on the Customer Premises Equipment (CPE), of an IPv6 address which varies on the basis of the IPv4 destination address that the user would like to reach",A,"MAP è una tecnica stateless che codifica l'indirizzo IPv4 e un range di porte (Port Set ID) all'interno dell'indirizzo IPv6 del CPE, permettendo la condivisione di un IP pubblico IPv4 tra più utenti (A+P)."
"64. RIP, caratteristica: (1946)",Necessità della configurazione da parte dell'amministratore per funzionare,Comunica informazioni con i router vicini,E' in grado di rilevare gli indirizzi IP degli host collegati e comunicarli ai router vicini,Nessuna delle precedenti,B,RIP è un protocollo Distance Vector che opera inviando periodicamente la propria tabella di routing completa ai soli router direttamente connessi (vicini).
